id	col
0	0.18836275558474433
1	-5.928073788291202
2	5.954931424078464
3	-1.3441443271356814
4	15.051434445407121
5	10.618650574752719
6	12.482191407482595
7	-11.907265529685342
8	2.1248366462181245
9	18.201619977858464
10	11.14688672432411
11	4.207913220600505
12	3.7596124364841472
13	-8.188798968130948
14	5.834547688033751
15	2.9881693721136804
16	-3.51335475001587
17	7.178833105516295
18	11.93895093189844
19	7.808158187286368
20	2.0930533230181063
21	-8.208470255300202
22	4.667529165378576
23	1.4379940933072077
24	-11.326690881510551
25	-12.032809995351698
26	-1.496306153480623
27	3.216425008115717
28	-10.093577120863571
29	2.562876389000149
30	-7.684883496161293
31	21.246453050447293
32	9.709267513278405
33	1.0880217105118701
34	2.994273702863608
35	-5.722623485063207
36	5.525944082468909
37	5.290248151091599
38	15.491233132800108
39	6.289201375210772
40	11.108669367053313
41	3.38084050783595
42	-6.150204018227431
43	0.3269221981618966
44	12.101030947666324
45	16.19644868200485
46	13.651381655605435
47	6.800810279269698
48	-3.6102699627533736
49	2.6465813340056137
50	-4.62508636397236
51	-2.1488021544101916
52	10.3977365347546
53	-1.2502514328698309
54	2.35300663816372
55	-3.3544304813647297
56	3.5609911426126937
57	-18.072493067623448
58	-6.990431088699698
59	8.586832180132363
60	4.816012448048492
61	-1.5231655447334604
62	-17.371530608966875
63	-8.791606621641188
64	6.092220008706036
65	-16.08041568671845
66	13.038809350629855
67	12.096093564061885
68	11.870510817809947
69	-9.927491665763847
70	4.518251411245518
71	8.5393482929906
72	6.05402473019519
73	-6.769032977670123
74	-0.4012414055584774
75	-5.698481097631531
76	-1.6099882100575689
77	7.956391714141604
78	-4.309735102486137
79	-10.187319945927797
80	2.75660771365093
81	5.6195749990131105
82	-1.1878298971181502
83	7.994927553411321
84	-0.1447327730356737
85	-3.4077822426093887
86	-0.4955875482515141
87	-4.761186679608242
88	4.252731877977274
89	10.018510961659448
90	-0.03605984387821154
91	-6.37011160399398
92	-10.490024109320451
93	-2.9906411457883135
94	-1.677777129528841
95	8.716469013712345
96	-9.651603223473836
97	-9.369546639205764
98	-8.671513454576274
99	-9.400111998951267
